registry_entry_id,legacy_cluster_id,source_global_signal_cluster_id,registry_source,representative_expression,canonical_expression,candidate_id,first_seen_phase,source_arm,source_seed,source_generator,source_lane,field_list,operator_families,strict_mean_one_way_turnover,portfolio_replay_avg_one_way_turnover,portfolio_replay_long_only_sortino,strict_cost_adjusted_sortino
registry_001,cluster_002,,phase3D_cumulative_previous_103,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))","CSRank(Sub(Mean($amount,8),Mean($amount,5)))",phase3repair-direct_quota_rejected-operator_sanitize-847125cd4743,,,seed9,,ast_failure_aware_repair,['$amount'],"['CSRank', 'Mean', 'Sub']",,,,
registry_002,cluster_004,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,2)))))","Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,2)))))",stockpit-cem_adaptive_grammar-a9507bc750f6,,,seed11,,r0_cem_led,['$close'],"['CSRank', 'Delta', 'Mul', 'Neg', 'ZScore']",,,,
registry_003,cluster_005,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean(Abs($close),34)),ZScore(Mean(Abs($amount),34))))","CSRank(Mul(ZScore(Mean(Abs($close),34)),ZScore(Mean(Abs($amount),34))))",stockpit-cem_adaptive_grammar-363114a10d39,,,seed10,,r0_cem_led,"['$amount', '$close']","['Abs', 'CSRank', 'Mean', 'Mul', 'ZScore']",,,,
registry_004,cluster_007,,phase3D_cumulative_previous_103,"CSRank(Sub(Mean($high,6),Mean($high,3)))","CSRank(Sub(Mean($high,6),Mean($high,3)))",phase3repair-direct_quota_rejected-operator_sanitize-056006c83140,,,seed11,,ast_failure_aware_repair,['$high'],"['CSRank', 'Mean', 'Sub']",,,,
registry_005,cluster_008,,phase3D_cumulative_previous_103,"CSRank(CSResidual(CSRank(Mean(Abs($close),21)),CSRank(Mean(Abs($final_float_market_cap),8))))","CSRank(CSResidual(CSRank(Mean(Abs($close),21)),CSRank(Mean(Abs($final_float_market_cap),8))))",stockpit-cem_adaptive_grammar-9f9a7656ebc5,,,seed10,,r0_cem_led,"['$close', '$final_float_market_cap']","['Abs', 'CSRank', 'CSResidual', 'Mean']",,,,
registry_006,cluster_010,,phase3D_cumulative_previous_103,"CSRank(Sub(Mean($close,8),Mean($close,5)))","CSRank(Sub(Mean($close,8),Mean($close,5)))",phase3repair-direct_quota_rejected-operator_sanitize-04c5cf6d3f47,,,seed12,,ast_failure_aware_repair,['$close'],"['CSRank', 'Mean', 'Sub']",,,,
registry_007,cluster_011,,phase3D_cumulative_previous_103,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))","CSRank(Sub(Mean($amount,6),Mean($amount,3)))",phase3repair-direct_quota_rejected-operator_sanitize-09b8ad3f0510,,,seed9,,ast_failure_aware_repair,['$amount'],"['CSRank', 'Mean', 'Sub']",,,,
registry_008,cluster_012,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Std($close,8)),ZScore(Std($final_float_market_cap,34))))","CSRank(Mul(ZScore(Std($close,8)),ZScore(Std($final_float_market_cap,34))))",stockpit-cem_adaptive_grammar-42de4a8e84ec,,,seed9,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Mul', 'Std', 'ZScore']",,,,
registry_009,cluster_013,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Std($close,2)),ZScore(Std($final_float_market_cap,2))))","CSRank(Mul(ZScore(Std($close,2)),ZScore(Std($final_float_market_cap,2))))",stockpit-cem_adaptive_grammar-e26646ccab93,,,seed9,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Mul', 'Std', 'ZScore']",,,,
registry_010,cluster_014,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,21))))","CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,21))))",stockpit-cem_adaptive_grammar-1167107a9b52,,,seed9,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Mean', 'Mul', 'ZScore']",,,,
registry_011,cluster_016,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($amount,21)))))","Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($amount,21)))))",stockpit-cem_adaptive_grammar-36177a8ef475,,,seed9,,r0_cem_led,"['$amount', '$close']","['CSRank', 'Delta', 'Mul', 'Neg', 'ZScore']",,,,
registry_012,cluster_017,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Std($final_float_market_cap,5)),ZScore(Std($close,5))))","CSRank(Mul(ZScore(Std($final_float_market_cap,5)),ZScore(Std($close,5))))",stockpit-cem_adaptive_grammar-557a79f66f15,,,seed11,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Mul', 'Std', 'ZScore']",,,,
registry_013,cluster_018,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Std($final_float_market_cap,2)),ZScore(Std($close,34))))","CSRank(Mul(ZScore(Std($final_float_market_cap,2)),ZScore(Std($close,34))))",stockpit-cem_adaptive_grammar-148b02b5da4b,,,seed12,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Mul', 'Std', 'ZScore']",,,,
registry_014,cluster_019,,phase3D_cumulative_previous_103,"Neg(CSRank(CSResidual(CSRank(Delta($volume,8)),CSRank(Delta($close,8)))))","Neg(CSRank(CSResidual(CSRank(Delta($volume,8)),CSRank(Delta($close,8)))))",stockpit-cem_adaptive_grammar-99867d1154a3,,,seed9,,r0_cem_led,"['$close', '$volume']","['CSRank', 'CSResidual', 'Delta', 'Neg']",,,,
registry_015,cluster_020,,phase3D_cumulative_previous_103,"CSRank(CSResidual(CSRank(Delta($close,8)),CSRank(Delta($amount,8))))","CSRank(CSResidual(CSRank(Delta($close,8)),CSRank(Delta($amount,8))))",stockpit-cem_adaptive_grammar-c3ee64b8f00b,,,seed9,,r0_cem_led,"['$amount', '$close']","['CSRank', 'CSResidual', 'Delta']",,,,
registry_016,cluster_021,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,8))))","CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,8))))",stockpit-cem_adaptive_grammar-dbe4aed04209,,,seed12,,r0_cem_led,"['$amount', '$final_float_market_cap']","['CSRank', 'Mul', 'Std', 'ZScore']",,,,
registry_017,cluster_022,,phase3D_cumulative_previous_103,"CSRank(Delta($close,34))","CSRank(Delta($close,34))",phase3repair-failure_detail-duplicate_escape-e8fd32a0b1dd,,,seed9,,ast_failure_aware_repair,['$close'],"['CSRank', 'Delta']",,,,
registry_018,cluster_023,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Std($close,21)),ZScore(Std($amount,5))))","CSRank(Mul(ZScore(Std($close,21)),ZScore(Std($amount,5))))",stockpit-cem_adaptive_grammar-a44aed9aa7e7,,,seed9,,r0_cem_led,"['$amount', '$close']","['CSRank', 'Mul', 'Std', 'ZScore']",,,,
registry_019,cluster_024,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($close,8))))","CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($close,8))))",stockpit-cem_adaptive_grammar-253033308ac3,,,seed12,,r0_cem_led,['$close'],"['CSRank', 'Mean', 'Mul', 'ZScore']",,,,
registry_020,cluster_025,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($final_float_market_cap,2)))))","Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($final_float_market_cap,2)))))",stockpit-cem_adaptive_grammar-a80b77d5fc5f,,,seed12,,r0_cem_led,"['$amount', '$final_float_market_cap']","['CSRank', 'Delta', 'Mul', 'Neg', 'ZScore']",,,,
registry_021,cluster_026,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Delta($close,34)),ZScore(Delta($close,34))))","CSRank(Mul(ZScore(Delta($close,34)),ZScore(Delta($close,34))))",stockpit-cem_adaptive_grammar-ae4bfdae0522,,,seed10,,r0_cem_led,['$close'],"['CSRank', 'Delta', 'Mul', 'ZScore']",,,,
registry_022,cluster_027,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean($open,8)),ZScore(Delta($vwap,11))))","CSRank(Mul(ZScore(Mean($open,8)),ZScore(Delta($vwap,11))))",phase3repair-failure_detail-duplicate_escape-6a69c0324828,,,seed10,,ast_failure_aware_repair,"['$open', '$vwap']","['CSRank', 'Delta', 'Mean', 'Mul', 'ZScore']",,,,
registry_023,cluster_028,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,5)),ZScore(Delta($final_float_market_cap,21)))))","Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,5)),ZScore(Delta($final_float_market_cap,21)))))",stockpit-cem_adaptive_grammar-1f40eb616bbd,,,seed10,,r0_cem_led,['$final_float_market_cap'],"['CSRank', 'Delta', 'Mul', 'Neg', 'ZScore']",,,,
registry_024,cluster_030,,phase3D_cumulative_previous_103,"Neg(CSRank(CSResidual(CSRank(Std($volume,21)),CSRank(Std($final_float_market_cap,5)))))","Neg(CSRank(CSResidual(CSRank(Std($volume,21)),CSRank(Std($final_float_market_cap,5)))))",stockpit-cem_adaptive_grammar-8ffd4948c769,,,seed9,,r0_cem_led,"['$final_float_market_cap', '$volume']","['CSRank', 'CSResidual', 'Neg', 'Std']",,,,
registry_025,cluster_031,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean($close,5)),ZScore(Delta($close,8))))","CSRank(Mul(ZScore(Mean($close,5)),ZScore(Delta($close,8))))",phase3repair-failure_detail-duplicate_escape-59cc6315adb3,,,seed9,,ast_failure_aware_repair,['$close'],"['CSRank', 'Delta', 'Mean', 'Mul', 'ZScore']",,,,
registry_026,cluster_032,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Delta($final_float_market_cap,34)),ZScore(Delta($close,21))))","CSRank(Mul(ZScore(Delta($final_float_market_cap,34)),ZScore(Delta($close,21))))",stockpit-cem_adaptive_grammar-e776378a5a65,,,seed12,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Delta', 'Mul', 'ZScore']",,,,
registry_027,cluster_033,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Delta($close,17))))","CSRank(Mul(ZScore(Mean($close,34)),ZScore(Delta($close,17))))",phase3repair-direct_quota_rejected-duplicate_escape-9a04fa99a7ca,,,seed11,,replay_aware_residual,['$close'],"['CSRank', 'Delta', 'Mean', 'Mul', 'ZScore']",,,,
registry_028,cluster_034,,phase3D_cumulative_previous_103,"CSRank(CSResidual(CSRank($amount),CSRank($volume)))","CSRank(CSResidual(CSRank($amount),CSRank($volume)))",stockpit-cem_adaptive_grammar-ac280b97bfd0,,,seed9,,replay_aware_residual,"['$amount', '$volume']","['CSRank', 'CSResidual']",,,,
registry_029,cluster_035,,phase3D_cumulative_previous_103,"Neg(CSRank(CSResidual(CSRank(Mean(Abs($final_float_market_cap),21)),CSRank(Mean(Abs($close),34)))))","Neg(CSRank(CSResidual(CSRank(Mean(Abs($final_float_market_cap),21)),CSRank(Mean(Abs($close),34)))))",stockpit-cem_adaptive_grammar-80b0c644a304,,,seed12,,r0_cem_led,"['$close', '$final_float_market_cap']","['Abs', 'CSRank', 'CSResidual', 'Mean', 'Neg']",,,,
registry_030,cluster_036,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,5)),ZScore(Delta($close,21)))))","Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,5)),ZScore(Delta($close,21)))))",stockpit-cem_adaptive_grammar-08eefe9806ba,,,seed12,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'Delta', 'Mul', 'Neg', 'ZScore']",,,,
registry_031,cluster_037,,phase3D_cumulative_previous_103,"CSRank(CSResidual(CSRank(Neg(CSRank(Mean(Abs($ret),13)))),CSRank(Neg(CSRank(Mean(Abs($ret),21))))))","CSRank(CSResidual(CSRank(Neg(CSRank(Mean(Abs($ret),13)))),CSRank(Neg(CSRank(Mean(Abs($ret),21))))))",stockpit-ast_evolutionary_mutation-9cc9fb9d45f6,,,seed9,,r0_cem_led,['$ret'],"['Abs', 'CSRank', 'CSResidual', 'Mean', 'Neg']",,,,
registry_032,cluster_038,,phase3D_cumulative_previous_103,"Neg(CSRank(Std($volume,34)))","Neg(CSRank(Std($volume,34)))",stockpit-cem_adaptive_grammar-8bf0a8b08355,,,seed10,,r0_cem_led,['$volume'],"['CSRank', 'Neg', 'Std']",,,,
registry_033,cluster_039,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Neg(CSRank(Mean(Abs($ret),2)))),ZScore(CSRank(Mean(Abs($ret),8)))))","CSRank(Mul(ZScore(Neg(CSRank(Mean(Abs($ret),2)))),ZScore(CSRank(Mean(Abs($ret),8)))))",stockpit-ast_evolutionary_mutation-fc0abf958798,,,seed10,,r0_cem_led,['$ret'],"['Abs', 'CSRank', 'Mean', 'Mul', 'Neg', 'ZScore']",,,,
registry_034,cluster_040,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean(Abs($volume),8)),ZScore(Mean(Abs($close),8))))","CSRank(Mul(ZScore(Mean(Abs($volume),8)),ZScore(Mean(Abs($close),8))))",stockpit-cem_adaptive_grammar-c4e03ce60567,,,seed9,,r0_cem_led,"['$close', '$volume']","['Abs', 'CSRank', 'Mean', 'Mul', 'ZScore']",,,,
registry_035,cluster_044,,phase3D_cumulative_previous_103,"CSRank(CSResidual(CSRank(CSRank(Mom($close,21))),CSRank(Neg(CSRank(Mom($close,13))))))","CSRank(CSResidual(CSRank(CSRank(Mom($close,21))),CSRank(Neg(CSRank(Mom($close,13))))))",stockpit-ast_evolutionary_mutation-36a13a40253b,,,seed11,,r0_cem_led,['$close'],"['CSRank', 'CSResidual', 'Mom', 'Neg']",,,,
registry_036,cluster_045,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Mean(Abs($volume),8)),ZScore(Mean(Abs($amount),5)))))","Neg(CSRank(Mul(ZScore(Mean(Abs($volume),8)),ZScore(Mean(Abs($amount),5)))))",stockpit-cem_adaptive_grammar-0180242ca2b8,,,seed10,,r0_cem_led,"['$amount', '$volume']","['Abs', 'CSRank', 'Mean', 'Mul', 'Neg', 'ZScore']",,,,
registry_037,cluster_046,,phase3D_cumulative_previous_103,"CSRank(CSResidual(CSRank(Delta($close,21)),CSRank(Delta($final_float_market_cap,5))))","CSRank(CSResidual(CSRank(Delta($close,21)),CSRank(Delta($final_float_market_cap,5))))",stockpit-cem_adaptive_grammar-0cb55f26314f,,,seed12,,r0_cem_led,"['$close', '$final_float_market_cap']","['CSRank', 'CSResidual', 'Delta']",,,,
registry_038,cluster_049,,phase3D_cumulative_previous_103,"CSRank(Sub(Mean($close,17),Mean($close,34)))","CSRank(Sub(Mean($close,17),Mean($close,34)))",phase3repair-failure_detail-operator_sanitize-1a6d0fab97f5,,,seed10,,replay_aware_residual,['$close'],"['CSRank', 'Mean', 'Sub']",,,,
registry_039,cluster_052,,phase3D_cumulative_previous_103,"CSRank(CSResidual(CSRank(CSRank(Mom($close,13))),CSRank(Neg(CSRank(Mom($close,3))))))","CSRank(CSResidual(CSRank(CSRank(Mom($close,13))),CSRank(Neg(CSRank(Mom($close,3))))))",stockpit-ast_evolutionary_mutation-951d371f3fce,,,seed10,,r0_cem_led,['$close'],"['CSRank', 'CSResidual', 'Mom', 'Neg']",,,,
registry_040,cluster_054,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Std($volume,34)),ZScore(Std($final_float_market_cap,8)))))","Neg(CSRank(Mul(ZScore(Std($volume,34)),ZScore(Std($final_float_market_cap,8)))))",stockpit-cem_adaptive_grammar-f27f68dd4c12,,,seed9,,r0_cem_led,"['$final_float_market_cap', '$volume']","['CSRank', 'Mul', 'Neg', 'Std', 'ZScore']",,,,
registry_041,cluster_059,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Std($volume,2)),ZScore(Std($amount,34)))))","Neg(CSRank(Mul(ZScore(Std($volume,2)),ZScore(Std($amount,34)))))",stockpit-cem_adaptive_grammar-e7143aa623d9,,,seed11,,r0_cem_led,"['$amount', '$volume']","['CSRank', 'Mul', 'Neg', 'Std', 'ZScore']",,,,
registry_042,cluster_060,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Mean($final_float_market_cap,8)),ZScore(Mean($final_float_market_cap,34)))))","Neg(CSRank(Mul(ZScore(Mean($final_float_market_cap,8)),ZScore(Mean($final_float_market_cap,34)))))",stockpit-cem_adaptive_grammar-2fe9747afab0,,,seed9,,r0_cem_led,['$final_float_market_cap'],"['CSRank', 'Mean', 'Mul', 'Neg', 'ZScore']",,,,
registry_043,phase3c_cluster_001,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore($open),Corr($close,Mom($final_float_market_cap,13),5)))","CSRank(Mul(ZScore($open),Corr($close,Mom($final_float_market_cap,13),5)))",agnostic-freeform-b941522c10ee,,,Phase3C_SO_open_ended,,agnostic_freeform_ast,"['$close', '$final_float_market_cap', '$open']","['CSRank', 'Corr', 'Mom', 'Mul', 'ZScore']",,,,
registry_044,phase3c_cluster_004,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean(Abs(Delta($amount,1)),8)),Mul(ZScore($open),CSRank($high))))","CSRank(Mul(ZScore(Mean(Abs(Delta($amount,1)),8)),Mul(ZScore($open),CSRank($high))))",agnostic-freeform-48c8ab0de23a,,,Phase3C_PM_mixed,,agnostic_freeform_ast,"['$amount', '$high', '$open']","['Abs', 'CSRank', 'Delta', 'Mean', 'Mul', 'ZScore']",,,,
registry_045,phase3c_cluster_007,,phase3D_cumulative_previous_103,"CSRank(Mul(CSRank(Mul(ZScore(Delta($close,21)),ZScore(Delta($final_float_market_cap,1)))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(Mul(ZScore(Delta($close,21)),ZScore(Delta($final_float_market_cap,1)))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-6c729348bc,,,Phase3C_SM_mixed,,formula_gen_v2_repair_expansion,"['$close', '$final_float_market_cap']","['Abs', 'CSRank', 'Delta', 'Mean', 'Mul', 'ZScore']",,,,
registry_046,phase3c_cluster_010,,phase3D_cumulative_previous_103,"CSRank(Sub(ZScore(Mean($amount,20)),ZScore(Mean($amount,2))))","CSRank(Sub(ZScore(Mean($amount,20)),ZScore(Mean($amount,2))))",fgv2-ablation-S-5531bb1349,,,Phase3C_PM_mixed,,formula_gen_v2_defined,['$amount'],"['CSRank', 'Mean', 'Sub', 'ZScore']",,,,
registry_047,phase3c_cluster_011,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Mean($amount,13)),Mul(CSRank(Std($open,3)),ZScore(Mean(Abs(Delta($vwap,1)),8)))))","CSRank(Mul(ZScore(Mean($amount,13)),Mul(CSRank(Std($open,3)),ZScore(Mean(Abs(Delta($vwap,1)),8)))))",agnostic-freeform-3ce087915437,,,Phase3C_PM_mixed,,agnostic_freeform_ast,"['$amount', '$open', '$vwap']","['Abs', 'CSRank', 'Delta', 'Mean', 'Mul', 'Std', 'ZScore']",,,,
registry_048,phase3c_cluster_013,,phase3D_cumulative_previous_103,"CSRank(Add(CSRank(Delta($final_float_market_cap,34)),CSRank($high)))","CSRank(Add(CSRank(Delta($final_float_market_cap,34)),CSRank($high)))",agnostic-freeform-2d03e786509e,,,Phase3C_SM_mixed,,agnostic_freeform_ast,"['$final_float_market_cap', '$high']","['Add', 'CSRank', 'Delta']",,,,
registry_049,phase3c_cluster_014,,phase3D_cumulative_previous_103,"CSRank(Sub(ZScore($vwap),ZScore($turnover_rate)))","CSRank(Sub(ZScore($vwap),ZScore($turnover_rate)))",agnostic-freeform-114cb2a7ea61,,,Phase3C_SM_mixed,,agnostic_freeform_ast,"['$turnover_rate', '$vwap']","['CSRank', 'Sub', 'ZScore']",,,,
registry_050,phase3c_cluster_015,,phase3D_cumulative_previous_103,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))),Mul(Mean(Mul(Sign(Delta($close,1)),Sign(Delta($amount,1))),5),ZScore(Mean(Abs(Delta($close,1)),20)))))","CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))),Mul(Mean(Mul(Sign(Delta($close,1)),Sign(Delta($amount,1))),5),ZScore(Mean(Abs(Delta($close,1)),20)))))",fgv2-repair-add_confirmation_state-9339936017,,,Phase3C_SM_mixed,,formula_gen_v2_repair_expansion,"['$amount', '$close', '$final_float_market_cap']","['Abs', 'CSRank', 'Delta', 'Mean', 'Mul', 'Sign', 'ZScore']",,,,
registry_051,phase3c_cluster_018,,phase3D_cumulative_previous_103,"CSRank(Mul(CSRank(Std($vwap,21)),ZScore(Mean($close,21))))","CSRank(Mul(CSRank(Std($vwap,21)),ZScore(Mean($close,21))))",agnostic-freeform-23021cadc909,,,Phase3C_SO_open_ended,,agnostic_freeform_ast,"['$close', '$vwap']","['CSRank', 'Mean', 'Mul', 'Std', 'ZScore']",,,,
registry_052,phase3c_cluster_023,,phase3D_cumulative_previous_103,"CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,5)),ZScore(Mean($amount,5)))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,5)),ZScore(Mean($amount,5)))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-c0032679ed,,,Phase3C_PM_mixed,,formula_gen_v2_repair_expansion,"['$amount', '$close']","['Abs', 'CSRank', 'Delta', 'Mean', 'Mul', 'ZScore']",,,,
registry_053,phase3c_cluster_024,,phase3D_cumulative_previous_103,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,1)))))","Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,1)))))",stockpit-cem_adaptive_grammar-31bdfaa36118,,,Phase3C_S0_stable_control,,r0_cem_led,['$close'],"['CSRank', 'Delta', 'Mul', 'Neg', 'ZScore']",,,,
registry_054,phase3c_cluster_025,,phase3D_cumulative_previous_103,"CSRank(Sub(ZScore(Mean($close,21)),CSRank(Std($low,2))))","CSRank(Sub(ZScore(Mean($close,21)),CSRank(Std($low,2))))",agnostic-freeform-f3b5e61d82f0,,,Phase3C_PO_open_ended,,agnostic_freeform_ast,"['$close', '$low']","['CSRank', 'Mean', 'Std', 'Sub', 'ZScore']",,,,
registry_055,phase3c_cluster_026,,phase3D_cumulative_previous_103,"Neg(CSRank(CSResidual(CSRank(Delta($amount,5)),CSRank(Delta($close,5)))))","Neg(CSRank(CSResidual(CSRank(Delta($amount,5)),CSRank(Delta($close,5)))))",stockpit-cem_adaptive_grammar-3293d34baffe,,,Phase3C_P0_productive_control,,r0_cem_led,"['$amount', '$close']","['CSRank', 'CSResidual', 'Delta', 'Neg']",,,,
registry_056,phase3c_cluster_028,,phase3D_cumulative_previous_103,"CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($low,34)),ZScore(Delta($high,21)))))","CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($low,34)),ZScore(Delta($high,21)))))",agnostic-freeform-d61baa56e266,,,Phase3C_SM_mixed,,agnostic_freeform_ast,"['$high', '$low', '$turnover_rate']","['CSRank', 'Delta', 'Mean', 'Mul', 'Std', 'ZScore']",,,,
registry_057,phase3c_cluster_030,,phase3D_cumulative_previous_103,"CSRank(Sub(ZScore(Std($final_total_market_cap,13)),ZScore(Mean(Abs(Delta($final_total_market_cap,1)),2))))","CSRank(Sub(ZScore(Std($final_total_market_cap,13)),ZScore(Mean(Abs(Delta($final_total_market_cap,1)),2))))",agnostic-freeform-16ee6691243c,,,Phase3C_PO_open_ended,,agnostic_freeform_ast,['$final_total_market_cap'],"['Abs', 'CSRank', 'Delta', 'Mean', 'Std', 'Sub', 'ZScore']",,,,
