cluster_id,candidate_uid,champion_rank,grade,proof_status,daily_proxy_pass,representative_expression,source_phase,source_scope,source_lane,field_families,operator_families,retained_by_j2,retained_by_j4_relaxed,new_vs_149_proxy,max_corr_to_149_registry_proxy,median_turnover,p90_turnover,cost_adjusted_score,capacity_proxy,median_amount_20d,limit_hit_rate,suspension_rate,limit_suspension_loss_proxy,raw_pass_count,deployable_count,champion_score,turnover_status,cost_status,capacity_status,feasibility_status,book_filter_status,concentration_status,blocking_issues,warnings,required_missing_tests,audit_decision
s47_cluster_006,phase3k_b_fresh:s47_cluster_006,1,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",Phase3K-B,kb_fresh_g2,formula_gen_v2_repair_expansion,flow|price,CSRank|Mean|Mul|Sign|ZScore,True,True,True,0.385674,0.151724,0.151724,7.468191,66581701.945,2771479948.8,0.018473,0.0,0.018473,1,1,86.640339,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
cluster_014,phase3j_locked:cluster_014,3,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",Phase3J,phase3j_locked_book,formula_gen_v2_repair_expansion,cap|price,CSRank|Mean|Mul|ZScore,True,True,False,,0.03501,0.041078,2.682759,118236558.781,2447796083.2,0.009236,0.0,0.009236,2,2,77.801143,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s48_cluster_006,phase3k_b_fresh:s48_cluster_006,4,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))",Phase3K-B,kb_fresh_g2,agnostic_freeform_ast,flow|price,CSRank|Mean|Mul|Sign|Std|ZScore,True,True,True,0.711935,0.094871,0.094871,4.221407,20723887.29,1097520553.6,0.01302,0.0,0.01302,1,1,77.078222,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s50_cluster_005,phase3k_b_fresh:s50_cluster_005,5,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Mean($final_float_market_cap,8)))),ZScore(Mean(Abs(Delta($close,1)),20))))",Phase3K-B,kb_fresh_g2,formula_gen_v2_repair_expansion,flow|price|size_capital,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,True,0.784251,0.065529,0.065529,3.742877,49459578.094,2196895331.2,0.020729,0.0,0.020729,1,1,76.589442,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s49_cluster_007,phase3k_b_fresh:s49_cluster_007,6,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,34))))",Phase3K-B,kb_fresh_g2,r0_cem_led,price|size_capital,CSRank|Mean|Mul|ZScore,True,True,True,0.481107,0.025655,0.025655,2.293998,119191295.125,2426874816.0,0.009236,0.0,0.009236,1,1,76.127468,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
cluster_008,phase3j_locked:cluster_008,7,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",Phase3J,phase3j_locked_book,formula_gen_v2_repair_expansion,cap|flow|price,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,False,,0.148589,0.148589,3.494263,46935603.135,2111390753.6,0.018605,0.0,0.018605,1,1,76.098578,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s47_cluster_013,phase3k_b_fresh:s47_cluster_013,8,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($final_float_market_cap),2))))",Phase3K-B,kb_fresh_g2,r0_cem_led,price|size_capital,Abs|CSRank|Mean|Mul|ZScore,True,True,True,0.714463,0.033048,0.033048,2.493115,115067321.087,2361664499.2,0.009437,0.0,0.009437,1,1,73.197048,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s50_cluster_006,phase3k_b_fresh:s50_cluster_006,9,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore($close),ZScore($amount))))),Mul(ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))),ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))))))",Phase3K-B,kb_fresh_g2,formula_gen_v2_repair_expansion,flow|price,CSRank|Mul|Sign|ZScore,True,True,True,0.411485,0.221826,0.221826,2.795691,64781224.645,2744154799.238,0.019876,0.0,0.019876,1,1,71.858483,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
cluster_017,phase3j_locked:cluster_017,10,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",Phase3J,phase3j_locked_book,agnostic_freeform_ast,flow|price,CSRank|Mean|Mul|Sign,True,True,False,,0.104046,0.125839,2.098815,61115043.581,2530544800.0,0.017839,0.0,0.017839,2,2,71.739812,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s49_cluster_008,phase3k_b_fresh:s49_cluster_008,13,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",Phase3K-B,kb_fresh_g2,formula_gen_v2_repair_expansion,price,Abs|CSRank|Delta|Mean|Mul|Neg|ZScore,True,True,True,0.623762,0.098279,0.098279,3.080926,25480245.859,1184123244.8,0.01699,0.0,0.01699,1,1,71.480887,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s48_cluster_008,phase3k_b_fresh:s48_cluster_008,14,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($amount),21))))",Phase3K-B,kb_fresh_g2,r0_cem_led,flow|price,Abs|CSRank|Mean|Mul|ZScore,True,True,True,0.693453,0.051814,0.051814,2.384678,69497058.628,2892976825.6,0.015559,0.0,0.015559,1,1,70.846588,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s47_cluster_005,phase3k_b_fresh:s47_cluster_005,15,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",Phase3K-B,kb_fresh_g2,agnostic_freeform_ast,price,Abs|CSRank|Delta|Mean|Mul|Sign|Std|ZScore,True,True,False,0.805202,0.149075,0.189713,3.481296,25906560.294,1203994803.2,0.019149,0.0,0.019149,2,2,70.295767,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
